Region,Data_Date,Month_Day_MonthName,Month,Campaign,Clicks,Impr,Unique Impr,Current_Code,Cost,Click_Conversions,View_Conversion,CPC,CPA,Channel,Funnel_Stage
Florida,2025-04-08,08 - 08 - April,April 2025,[SG] Florida | TOF,5,3694,1216,USD,54.42,0,0,10.884,0,Slynd DTC Video StackAapt,TOF
Virginia,2025-04-08,08 - 08 - April,April 2025,[SG] DTC Skewed | BOF | Web RT,0,413,78,USD,6.16,0,0,0,0,Slynd DTC Video StackAapt,BOF
Arkansas,2025-04-08,08 - 08 - April,April 2025,[SG] Arkansas | TOF,6,3511,1278,USD,27.45,0,0,4.575,0,Slynd DTC Display StackAapt,TOF
Illinois,2025-04-08,08 - 08 - April,April 2025,[SG] DTP | Illinois | TOF,1,1189,82,USD,44.66,0,0,44.66,0,Slynd DTP Display StackAapt,TOF
Nebraska,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Skewed | BOF | Web RT,0,33,4,USD,0.48,0,0,0,0,Slynd DTC Video StackAapt,BOF
California,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Focused | BOF | Web RT,1,215,25,USD,3.17,0,0,3.17,0,Slynd DTC Video StackAapt,BOF
Illinois,2025-04-08,08 - 08 - April,April 2025,[SG] Illinois | TOF,0,1287,245,USD,18.87,0,0,0,0,Slynd DTC Video StackAapt,TOF
Texas,2025-04-08,08 - 08 - April,April 2025,[SG] DTC Focused | TOF,1,1629,447,USD,23.73,0,0,23.73,0,Slynd DTC Video StackAapt,TOF
Massachusetts,2025-04-08,08 - 08 - April,April 2025,[SG] DTP | Massachusetts | TOF,0,626,66,USD,23.76,0,0,0,0,Slynd DTP Display StackAapt,TOF
Kansas,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Skewed | BOF | Web RT,0,82,11,USD,1.21,0,0,0,0,Slynd DTC Video StackAapt,BOF
Maine,2025-04-08,08 - 08 - April,April 2025,[SG] Maine | BOF | Web RT,0,664,31,USD,5.2,0,0,0,0,Slynd DTC Display StackAapt,BOF
Missouri,2025-04-08,08 - 08 - April,April 2025,[SG] Missouri | BOF | Web RT,0,705,108,USD,10.37,0,0,0,0,Slynd DTC Video StackAapt,BOF
Oklahoma,2025-04-08,08 - 08 - April,April 2025,[SG] Oklahoma | BOF | Web RT,2,3049,173,USD,18.04,0,0,9.02,0,Slynd DTC Display StackAapt,BOF
New Jersey,2025-04-08,08 - 08 - April,April 2025,[SG] New Jersey | TOF,19,12871,4598,USD,88.28,0,0,4.646315789,0,Slynd DTC Display StackAapt,TOF
Oklahoma,2025-04-08,08 - 08 - April,April 2025,[SG] Oklahoma | TOF,1,2568,908,USD,17.65,0,0,17.65,0,Slynd DTC Display StackAapt,TOF
Kentucky,2025-04-08,08 - 08 - April,April 2025,[SG] Kentucky | BOF | Web RT,2,7760,637,USD,61.15,0,0,30.575,0,Slynd DTC Display StackAapt,BOF
North Carolina,2025-04-08,08 - 08 - April,April 2025,[SG] DTP | North Carolina | TOF,0,211,20,USD,8.19,0,0,0,0,Slynd DTP Display StackAapt,TOF
Texas,2025-04-08,08 - 08 - April,April 2025,[SG] 31 States | TOF,0,0,0,USD,0,1,0,0,0,Slynd DTC Video StackAapt,TOF
Georgia,2025-04-08,08 - 08 - April,April 2025,[SG] Georgia | BOF | Web RT,2,1518,132,USD,8.93,0,0,4.465,0,Slynd DTC Display StackAapt,BOF
Arizona,2025-04-08,08 - 08 - April,April 2025,[SG] Arizona | BOF | Web RT,0,689,124,USD,10.26,0,0,0,0,Slynd DTC Video StackAapt,BOF
South Dakota,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Focused | TOF,0,34,12,USD,0.5,0,0,0,0,Slynd DTC Video StackAapt,TOF
Ohio,2025-04-08,08 - 08 - April,April 2025,[SG] Ohio | BOF | Web RT,2,5597,436,USD,33.26,0,0,16.63,0,Slynd DTC Display StackAapt,BOF
North Carolina,2025-04-08,08 - 08 - April,April 2025,[SG] North Carolina | BOF | Web RT,1,2693,212,USD,16,0,0,16,0,Slynd DTC Display StackAapt,BOF
Florida,2025-04-08,08 - 08 - April,April 2025,[SG] Florida | BOF | Web RT,10,9320,1047,USD,51.91,0,0,5.191,0,Slynd DTC Display StackAapt,BOF
Louisiana,2025-04-08,08 - 08 - April,April 2025,[SG] DTC Skewed | TOF,0,332,155,USD,5,0,0,0,0,Slynd DTC Video StackAapt,TOF
Massachusetts,2025-04-08,08 - 08 - April,April 2025,[SG] Massachusetts | BOF | Web RT,1,1278,110,USD,7.52,0,0,7.52,0,Slynd DTC Display StackAapt,BOF
South Carolina,2025-04-08,08 - 08 - April,April 2025,[SG] South Carolina | TOF,3,3490,1424,USD,24,0,0,8,0,Slynd DTC Display StackAapt,TOF
Arkansas,2025-04-08,08 - 08 - April,April 2025,[SG] DTP | Arkansas | TOF,0,186,21,USD,7.14,0,0,0,0,Slynd DTP Display StackAapt,TOF
Washington,2025-04-08,08 - 08 - April,April 2025,[SG] Washington | BOF | Web RT,1,2651,138,USD,15.61,0,0,15.61,0,Slynd DTC Display StackAapt,BOF
South Carolina,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Skewed | BOF | Web RT,0,83,17,USD,1.25,0,0,0,0,Slynd DTC Video StackAapt,BOF
Connecticut,2025-04-08,08 - 08 - April,April 2025,[SG] Connecticut | TOF,2,2578,1150,USD,17.73,0,0,8.865,0,Slynd DTC Display StackAapt,TOF
Missouri,2025-04-08,08 - 08 - April,April 2025,[SG] DTP |  Missouri | TOF,0,653,45,USD,24.6,0,0,0,0,Slynd DTP Display StackAapt,TOF
Connecticut,2025-04-08,08 - 08 - April,April 2025,[SG] DTP | Connecticut | TOF,0,163,13,USD,6.09,0,0,0,0,Slynd DTP Display StackAapt,TOF
New York,2025-04-08,08 - 08 - April,April 2025,[SG] DTP |  New York | TOF,6,1563,129,USD,59.32,0,0,9.886666667,0,Slynd DTP Display StackAapt,TOF
Illinois,2025-04-08,08 - 08 - April,April 2025,[SG] Illinois | TOF,3,5589,2889,USD,38.39,0,0,12.79666667,0,Slynd DTC Display StackAapt,TOF
Maryland,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Skewed | TOF,0,412,144,USD,6.03,0,0,0,0,Slynd DTC Video StackAapt,TOF
Missouri,2025-04-08,08 - 08 - April,April 2025,[SG] Missouri | TOF,4,6333,2297,USD,49.79,0,0,12.4475,0,Slynd DTC Display StackAapt,TOF
Virginia,2025-04-08,08 - 08 - April,April 2025,[SG] DTC Skewed | TOF,2,1139,453,USD,16.74,0,0,8.37,0,Slynd DTC Video StackAapt,TOF
Iowa,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Focused | BOF | Web RT,0,24,6,USD,0.35,0,0,0,0,Slynd DTC Video StackAapt,BOF
Connecticut,2025-04-08,08 - 08 - April,April 2025,[SG] DTC Skewed | BOF | Web RT,0,180,46,USD,2.69,0,0,0,0,Slynd DTC Video StackAapt,BOF
Louisiana,2025-04-08,08 - 08 - April,April 2025,[SG] Louisiana | BOF | Web RT,1,2684,197,USD,15.88,0,0,15.88,0,Slynd DTC Display StackAapt,BOF
Kentucky,2025-04-08,08 - 08 - April,April 2025,[SG] Kentucky | BOF | Web RT,0,944,194,USD,13.98,0,0,0,0,Slynd DTC Video StackAapt,BOF
Maryland,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Skewed | BOF | Web RT,0,78,26,USD,1.16,0,0,0,0,Slynd DTC Video StackAapt,BOF
Tennessee,2025-04-08,08 - 08 - April,April 2025,[SG] DTP |  Tennessee | TOF,0,285,26,USD,10.87,0,0,0,0,Slynd DTP Display StackAapt,TOF
Nebraska,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Skewed | TOF,0,113,50,USD,1.67,0,0,0,0,Slynd DTC Video StackAapt,TOF
Kansas,2025-04-08,08 - 08 - April,April 2025,[SG] Kansas | BOF | Web RT,0,1459,101,USD,8.58,0,0,0,0,Slynd DTC Display StackAapt,BOF
Maine,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Focused | TOF,0,117,36,USD,1.72,0,0,0,0,Slynd DTC Video StackAapt,TOF
Iowa,2025-04-08,08 - 08 - April,April 2025,[SG] Iowa | TOF,2,1119,565,USD,7.67,0,0,3.835,0,Slynd DTC Display StackAapt,TOF
New Jersey,2025-04-08,08 - 08 - April,April 2025,[SG] DTP |  New Jersey | TOF,0,893,45,USD,33.26,0,0,0,0,Slynd DTP Display StackAapt,TOF
Maine,2025-04-08,08 - 08 - April,April 2025,[SG] Maine | TOF,3,971,302,USD,7.65,0,0,2.55,0,Slynd DTC Display StackAapt,TOF
Texas,2025-04-08,08 - 08 - April,April 2025,[SG] DTP |  Texas | TOF,0,229,33,USD,9.11,0,0,0,0,Slynd DTP Display StackAapt,TOF
Tennessee,2025-04-08,08 - 08 - April,April 2025,[SG] Tennessee | TOF,8,5767,1789,USD,39.7,0,0,4.9625,0,Slynd DTC Display StackAapt,TOF
Louisiana,2025-04-08,08 - 08 - April,April 2025,[SG] Louisiana | TOF,2,2574,829,USD,17.72,0,0,8.86,0,Slynd DTC Display StackAapt,TOF
Virginia,2025-04-08,08 - 08 - April,April 2025,[SG] DTP | Virginia | TOF,0,236,22,USD,9.03,0,0,0,0,Slynd DTP Display StackAapt,TOF
Illinois,2025-04-08,08 - 08 - April,April 2025,[SG] Illinois | BOF | Web RT,3,6902,463,USD,40.35,0,0,13.45,0,Slynd DTC Display StackAapt,BOF
New York,2025-04-08,08 - 08 - April,April 2025,[SG] New York | BOF | Web RT,22,19924,1336,USD,38.35,0,0,1.743181818,0,Slynd DTC Display StackAapt,BOF
South Dakota,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Focused | BOF | Web RT,0,3,0,USD,0.05,0,0,0,0,Slynd DTC Video StackAapt,BOF
New Jersey,2025-04-08,08 - 08 - April,April 2025,[SG] New Jersey | BOF | Web RT,0,1669,263,USD,24.73,0,0,0,0,Slynd DTC Video StackAapt,BOF
Florida,2025-04-08,08 - 08 - April,April 2025,[SG] Florida | BOF | Web RT,0,1314,236,USD,19.52,0,0,0,0,Slynd DTC Video StackAapt,BOF
Texas,2025-04-08,08 - 08 - April,April 2025,[SG] Texas | TOF,6,5098,2123,USD,35.08,0,0,5.846666667,0,Slynd DTC Display StackAapt,TOF
Nebraska,2025-04-08,08 - 08 - April,April 2025,[SG] DTP | Nebraska | TOF,0,107,15,USD,4.01,0,0,0,0,Slynd DTP Display StackAapt,TOF
Ohio,2025-04-08,08 - 08 - April,April 2025,[SG] Ohio | TOF,0,1415,465,USD,20.85,0,0,0,0,Slynd DTC Video StackAapt,TOF
Georgia,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Skewed | BOF | Web RT,1,256,31,USD,3.76,0,0,3.76,0,Slynd DTC Video StackAapt,BOF
Pennsylvania,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Focused | BOF | Web RT,0,164,20,USD,2.42,0,0,0,0,Slynd DTC Video StackAapt,BOF
Connecticut,2025-04-08,08 - 08 - April,April 2025,[SG] Connecticut | BOF | Web RT,1,2005,149,USD,11.81,0,0,11.81,0,Slynd DTC Display StackAapt,BOF
Arizona,2025-04-08,08 - 08 - April,April 2025,[SG] DTP |  Arizona | TOF,0,211,23,USD,7.97,0,0,0,0,Slynd DTP Display StackAapt,TOF
Tennessee,2025-04-08,08 - 08 - April,April 2025,[SG] Tennessee | TOF,3,1540,619,USD,22.78,0,0,7.593333333,0,Slynd DTC Video StackAapt,TOF
Indiana,2025-04-08,08 - 08 - April,April 2025,[SG] DTC Skewed | TOF,1,844,299,USD,12.47,0,0,12.47,0,Slynd DTC Video StackAapt,TOF
Delaware,2025-04-08,08 - 08 - April,April 2025,[SG] DTP | Delaware | TOF,0,27,2,USD,1.01,0,0,0,0,Slynd DTP Display StackAapt,TOF
Massachusetts,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Focused | BOF | Web RT,0,44,13,USD,0.66,0,0,0,0,Slynd DTC Video StackAapt,BOF
South Carolina,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Skewed | TOF,0,299,84,USD,4.36,0,0,0,0,Slynd DTC Video StackAapt,TOF
Colorado,2025-04-08,08 - 08 - April,April 2025,[SG] DTP | Colorado | TOF,0,362,32,USD,13.45,0,0,0,0,Slynd DTP Display StackAapt,TOF
Delaware,2025-04-08,08 - 08 - April,April 2025,[SG] DTC Skewed | BOF | Web RT,0,51,13,USD,0.75,0,0,0,0,Slynd DTC Video StackAapt,BOF
Ohio,2025-04-08,08 - 08 - April,April 2025,[SG] Ohio | TOF,9,4784,1835,USD,32.89,0,0,3.654444444,0,Slynd DTC Display StackAapt,TOF
South Dakota,2025-04-08,08 - 08 - April,April 2025,[SG] South Dakota | BOF | Web RT,1,460,52,USD,3.41,0,0,3.41,0,Slynd DTC Display StackAapt,BOF
Pennsylvania,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Focused | TOF,0,643,211,USD,9.45,0,0,0,0,Slynd DTC Video StackAapt,TOF
Washington,2025-04-08,08 - 08 - April,April 2025,[SG] DTP | Washington | TOF,1,578,29,USD,21.8,0,0,21.8,0,Slynd DTP Display StackAapt,TOF
Delaware,2025-04-08,08 - 08 - April,April 2025,[SG] Delaware | TOF,5,2312,822,USD,17.92,0,0,3.584,0,Slynd DTC Display StackAapt,TOF
Maryland,2025-04-08,08 - 08 - April,April 2025,[SG] DTP | Maryland | TOF,1,377,39,USD,14.22,0,0,14.22,0,Slynd DTP Display StackAapt,TOF
Kentucky,2025-04-08,08 - 08 - April,April 2025,[SG] Kentucky | TOF,13,6624,2046,USD,58.43,0,0,4.494615385,0,Slynd DTC Display StackAapt,TOF
North Carolina,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Skewed | BOF | Web RT,0,370,63,USD,5.47,0,0,0,0,Slynd DTC Video StackAapt,BOF
Virginia,2025-04-08,08 - 08 - April,April 2025,[SG] Virginia | TOF,2,1685,759,USD,11.61,0,0,5.805,0,Slynd DTC Display StackAapt,TOF
Florida,2025-04-08,08 - 08 - April,April 2025,[SG] Florida | TOF,11,11454,5629,USD,78.61,0,0,7.146363636,0,Slynd DTC Display StackAapt,TOF
Colorado,2025-04-08,08 - 08 - April,April 2025,[SG] Colorado | TOF,2,1741,718,USD,11.86,0,0,5.93,0,Slynd DTC Display StackAapt,TOF
South Dakota,2025-04-08,08 - 08 - April,April 2025,[SG] DTP | South Dakota | TOF,0,3,2,USD,0.11,0,0,0,0,Slynd DTP Display StackAapt,TOF
Arkansas,2025-04-08,08 - 08 - April,April 2025,[SG] DTC Focused | TOF,0,243,56,USD,3.58,0,0,0,0,Slynd DTC Video StackAapt,TOF
Kansas,2025-04-08,08 - 08 - April,April 2025,[SG] DTP | Kansas | TOF,0,181,20,USD,6.81,0,0,0,0,Slynd DTP Display StackAapt,TOF
Texas,2025-04-08,08 - 08 - April,April 2025,[SG] Texas | BOF | Web RT,0,6049,453,USD,36.06,0,0,0,0,Slynd DTC Display StackAapt,BOF
Georgia,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Skewed | TOF,0,534,186,USD,7.86,0,0,0,0,Slynd DTC Video StackAapt,TOF
Indiana,2025-04-08,08 - 08 - April,April 2025,[SG] Indiana | TOF,6,5095,1351,USD,35.11,0,0,5.851666667,0,Slynd DTC Display StackAapt,TOF
Iowa,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Focused | TOF,0,91,25,USD,1.33,0,0,0,0,Slynd DTC Video StackAapt,TOF
Maine,2025-04-08,08 - 08 - April,April 2025,[SG] DTP | Maine | TOF,0,66,8,USD,2.51,0,0,0,0,Slynd DTP Display StackAapt,TOF
Maine,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Focused | BOF | Web RT,0,91,4,USD,1.34,0,0,0,0,Slynd DTC Video StackAapt,BOF
Connecticut,2025-04-08,08 - 08 - April,April 2025,[SG] DTC Skewed | TOF,0,463,214,USD,6.89,0,0,0,0,Slynd DTC Video StackAapt,TOF
Colorado,2025-04-08,08 - 08 - April,April 2025,[SG] Colorado | BOF | Web RT,0,1419,102,USD,8.39,0,0,0,0,Slynd DTC Display StackAapt,BOF
Arizona,2025-04-08,08 - 08 - April,April 2025,[SG] Arizona | BOF | Web RT,1,4280,405,USD,33.57,0,0,33.57,0,Slynd DTC Display StackAapt,BOF
New York,2025-04-08,08 - 08 - April,April 2025,[SG] New York | TOF,1,1622,730,USD,23.76,0,0,23.76,0,Slynd DTC Video StackAapt,TOF
Louisiana,2025-04-08,08 - 08 - April,April 2025,[SG] DTP | Louisiana | TOF,0,116,15,USD,4.33,0,0,0,0,Slynd DTP Display StackAapt,TOF
Delaware,2025-04-08,08 - 08 - April,April 2025,[SG] DTC Skewed | TOF,0,152,60,USD,2.26,0,0,0,0,Slynd DTC Video StackAapt,TOF
New York,2025-04-08,08 - 08 - April,April 2025,[SG] New York | BOF | Web RT,0,553,74,USD,8.15,0,0,0,0,Slynd DTC Video StackAapt,BOF
Ohio,2025-04-08,08 - 08 - April,April 2025,[SG] Ohio | BOF | Web RT,0,641,144,USD,9.64,0,0,0,0,Slynd DTC Video StackAapt,BOF
Missouri,2025-04-08,08 - 08 - April,April 2025,[SG] Missouri | BOF | Web RT,6,5047,439,USD,39.65,0,0,6.608333333,0,Slynd DTC Display StackAapt,BOF
Arizona,2025-04-08,08 - 08 - April,April 2025,[SG] Arizona | TOF,8,5078,2229,USD,39.81,0,0,4.97625,0,Slynd DTC Display StackAapt,TOF
Pennsylvania,2025-04-08,08 - 08 - April,April 2025,[SG] Pennsylvania | TOF,3,2235,958,USD,15.31,0,0,5.103333333,0,Slynd DTC Display StackAapt,TOF
Delaware,2025-04-08,08 - 08 - April,April 2025,[SG] Delaware | BOF | Web RT,0,1856,156,USD,13.9,0,0,0,0,Slynd DTC Display StackAapt,BOF
Missouri,2025-04-08,08 - 08 - April,April 2025,[SG] Missouri | TOF,0,2121,522,USD,31.3,0,0,0,0,Slynd DTC Video StackAapt,TOF
Pennsylvania,2025-04-08,08 - 08 - April,April 2025,[SG] DTP |  Pennsylvania | TOF,1,1044,59,USD,39.76,0,0,39.76,0,Slynd DTP Display StackAapt,TOF
Colorado,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Skewed | BOF | Web RT,0,159,25,USD,2.36,0,0,0,0,Slynd DTC Video StackAapt,BOF
Arizona,2025-04-08,08 - 08 - April,April 2025,[SG] Arizona | TOF,1,1628,819,USD,24.48,0,0,24.48,0,Slynd DTC Video StackAapt,TOF
Kansas,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Skewed | TOF,0,164,79,USD,2.4,0,0,0,0,Slynd DTC Video StackAapt,TOF
South Carolina,2025-04-08,08 - 08 - April,April 2025,[SG] South Carolina | BOF | Web RT,4,3846,214,USD,22.84,0,0,5.71,0,Slynd DTC Display StackAapt,BOF
Colorado,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Skewed | TOF,0,262,112,USD,3.88,0,0,0,0,Slynd DTC Video StackAapt,TOF
Massachusetts,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Focused | TOF,0,382,119,USD,5.61,0,0,0,0,Slynd DTC Video StackAapt,TOF
Arkansas,2025-04-08,08 - 08 - April,April 2025,[SG] Arkansas | BOF | Web RT,2,2858,179,USD,22.36,0,0,11.18,0,Slynd DTC Display StackAapt,BOF
Illinois,2025-04-08,08 - 08 - April,April 2025,[SG] Illinois | BOF | Web RT,0,627,66,USD,9.23,0,0,0,0,Slynd DTC Video StackAapt,BOF
Massachusetts,2025-04-08,08 - 08 - April,April 2025,[SG] Massachusetts | TOF,1,1488,868,USD,10.23,0,0,10.23,0,Slynd DTC Display StackAapt,TOF
Iowa,2025-04-08,08 - 08 - April,April 2025,[SG] Iowa | BOF | Web RT,0,860,68,USD,5.06,0,0,0,0,Slynd DTC Display StackAapt,BOF
Kansas,2025-04-08,08 - 08 - April,April 2025,[SG] Kansas | TOF,1,1511,494,USD,11.87,0,0,11.87,0,Slynd DTC Display StackAapt,TOF
New Jersey,2025-04-08,08 - 08 - April,April 2025,[SG] New Jersey | BOF | Web RT,8,15416,1056,USD,90.45,0,0,11.30625,0,Slynd DTC Display StackAapt,BOF
Indiana,2025-04-08,08 - 08 - April,April 2025,[SG] DTP |  Indiana | TOF,1,159,32,USD,6.16,0,0,6.16,0,Slynd DTP Display StackAapt,TOF
Tennessee,2025-04-08,08 - 08 - April,April 2025,[SG] Tennessee | BOF | Web RT,4,6504,445,USD,38.75,0,0,9.6875,0,Slynd DTC Display StackAapt,BOF
Georgia,2025-04-08,08 - 08 - April,April 2025,[SG] DTP | Georgia | TOF,0,179,19,USD,6.77,0,0,0,0,Slynd DTP Display StackAapt,TOF
Iowa,2025-04-08,08 - 08 - April,April 2025,[SG] DTP | Iowa | TOF,0,112,10,USD,4.14,0,0,0,0,Slynd DTP Display StackAapt,TOF
North Carolina,2025-04-08,08 - 08 - April,April 2025,[SG] North Carolina | TOF,3,2299,1226,USD,15.77,0,0,5.256666667,0,Slynd DTC Display StackAapt,TOF
Indiana,2025-04-08,08 - 08 - April,April 2025,[SG] DTC Skewed | BOF | Web RT,1,459,70,USD,6.83,0,0,6.83,0,Slynd DTC Video StackAapt,BOF
Pennsylvania,2025-04-08,08 - 08 - April,April 2025,[SG] Pennsylvania | BOF | Web RT,1,2018,178,USD,11.91,0,0,11.91,0,Slynd DTC Display StackAapt,BOF
Florida,2025-04-08,08 - 08 - April,April 2025,[SG] DTP |  Florida | TOF,0,427,63,USD,16.62,0,0,0,0,Slynd DTP Display StackAapt,TOF
California,2025-04-08,08 - 08 - April,April 2025,[SG] California | TOF,4,2984,2056,USD,20.4,0,0,5.1,0,Slynd DTC Display StackAapt,TOF
Washington,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Skewed | TOF,1,729,214,USD,10.67,0,0,10.67,0,Slynd DTC Video StackAapt,TOF
Virginia,2025-04-08,08 - 08 - April,April 2025,[SG] Virginia | BOF | Web RT,0,1974,167,USD,11.73,0,0,0,0,Slynd DTC Display StackAapt,BOF
California,2025-04-08,08 - 08 - April,April 2025,[SG] California | BOF | Web RT,1,2707,207,USD,15.95,0,0,15.95,0,Slynd DTC Display StackAapt,BOF
Oklahoma,2025-04-08,08 - 08 - April,April 2025,[SG] DTC Skewed | BOF | Web RT,0,77,29,USD,1.17,0,0,0,0,Slynd DTC Video StackAapt,BOF
Louisiana,2025-04-08,08 - 08 - April,April 2025,[SG] DTC Skewed | BOF | Web RT,0,139,31,USD,2.12,0,0,0,0,Slynd DTC Video StackAapt,BOF
California,2025-04-08,08 - 08 - April,April 2025,[SG] DTP |  California | TOF,1,921,89,USD,35.47,0,0,35.47,0,Slynd DTP Display StackAapt,TOF
Washington,2025-04-08,08 - 08 - April,April 2025,[SG] Washington | TOF,3,2896,1159,USD,19.74,0,0,6.58,0,Slynd DTC Display StackAapt,TOF
Maryland,2025-04-08,08 - 08 - April,April 2025,[SG] Maryland | BOF | Web RT,1,1474,112,USD,8.66,0,0,8.66,0,Slynd DTC Display StackAapt,BOF
Oklahoma,2025-04-08,08 - 08 - April,April 2025,[SG] DTC Skewed | TOF,0,412,149,USD,6.06,0,0,0,0,Slynd DTC Video StackAapt,TOF
South Carolina,2025-04-08,08 - 08 - April,April 2025,[SG] DTP |  South Carolina | TOF,1,354,27,USD,13.34,0,0,13.34,0,Slynd DTP Display StackAapt,TOF
California,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Focused | TOF,0,627,280,USD,9.18,0,0,0,0,Slynd DTC Video StackAapt,TOF
Georgia,2025-04-08,08 - 08 - April,April 2025,[SG] Georgia | TOF,2,1731,1007,USD,11.89,0,0,5.945,0,Slynd DTC Display StackAapt,TOF
Arkansas,2025-04-08,08 - 08 - April,April 2025,[SG] DTC Focused | BOF | Web RT,0,102,39,USD,1.53,0,0,0,0,Slynd DTC Video StackAapt,BOF
Kentucky,2025-04-08,08 - 08 - April,April 2025,[SG] Kentucky | TOF,2,2394,1064,USD,35.4,0,0,17.7,0,Slynd DTC Video StackAapt,TOF
Nebraska,2025-04-08,08 - 08 - April,April 2025,[SG] Nebraska | BOF | Web RT,1,1992,107,USD,11.71,0,0,11.71,0,Slynd DTC Display StackAapt,BOF
North Carolina,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Skewed | TOF,0,673,248,USD,9.87,0,0,0,0,Slynd DTC Video StackAapt,TOF
Maryland,2025-04-08,08 - 08 - April,April 2025,[SG] Maryland | TOF,1,1726,717,USD,11.85,0,0,11.85,0,Slynd DTC Display StackAapt,TOF
Texas,2025-04-08,08 - 08 - April,April 2025,[SG] DTC Focused | BOF | Web RT,1,801,210,USD,11.92,0,0,11.92,0,Slynd DTC Video StackAapt,BOF
Tennessee,2025-04-08,08 - 08 - April,April 2025,[SG] Tennessee | BOF | Web RT,0,731,145,USD,10.86,0,0,0,0,Slynd DTC Video StackAapt,BOF
Ohio,2025-04-08,08 - 08 - April,April 2025,[SG] DTP |  Ohio | TOF,0,413,40,USD,15.63,0,0,0,0,Slynd DTP Display StackAapt,TOF
Nebraska,2025-04-08,08 - 08 - April,April 2025,[SG] Nebraska | TOF,1,2319,941,USD,15.86,0,0,15.86,0,Slynd DTC Display StackAapt,TOF
New York,2025-04-08,08 - 08 - April,April 2025,[SG] New York | TOF,9,6506,3413,USD,44.51,0,0,4.945555556,0,Slynd DTC Display StackAapt,TOF
Kentucky,2025-04-08,08 - 08 - April,April 2025,[SG] DTP |  Kentucky | TOF,0,277,15,USD,10.47,0,0,0,0,Slynd DTP Display StackAapt,TOF
Washington,2025-04-08,08 - 08 - April,April 2025,[SG] DTP Skewed | BOF | Web RT,0,119,34,USD,1.75,0,0,0,0,Slynd DTC Video StackAapt,BOF
New Jersey,2025-04-08,08 - 08 - April,April 2025,[SG] New Jersey | TOF,1,3466,1130,USD,51.37,0,0,51.37,0,Slynd DTC Video StackAapt,TOF
Oklahoma,2025-04-08,08 - 08 - April,April 2025,[SG] DTP | Oklahoma | TOF,0,168,23,USD,6.36,0,0,0,0,Slynd DTP Display StackAapt,TOF
South Dakota,2025-04-08,08 - 08 - April,April 2025,[SG] South Dakota | TOF,2,992,395,USD,7.79,0,0,3.895,0,Slynd DTC Display StackAapt,TOF
Indiana,2025-04-08,08 - 08 - April,April 2025,[SG] Indiana | BOF | Web RT,6,5834,371,USD,34.51,0,0,5.751666667,0,Slynd DTC Display StackAapt,BOF
South Dakota,2025-04-09,09 - 09 - April,April 2025,[SG] DTP Focused | TOF,0,11,4,USD,0.16,0,0,0,0,Slynd DTC Video StackAapt,TOF
Virginia,2025-04-09,09 - 09 - April,April 2025,[SG] Virginia | TOF,4,1912,721,USD,11.59,0,0,2.8975,0,Slynd DTC Display StackAapt,TOF
Colorado,2025-04-09,09 - 09 - April,April 2025,[SG] DTP Skewed | BOF | Web RT,0,169,27,USD,2.49,0,0,0,0,Slynd DTC Video StackAapt,BOF
Nebraska,2025-04-09,09 - 09 - April,April 2025,[SG] Nebraska | BOF | Web RT,3,1649,100,USD,10.34,0,0,3.446666667,0,Slynd DTC Display StackAapt,BOF
Colorado,2025-04-09,09 - 09 - April,April 2025,[SG] Colorado | TOF,1,1986,737,USD,11.85,0,0,11.85,0,Slynd DTC Display StackAapt,TOF
Iowa,2025-04-09,09 - 09 - April,April 2025,[SG] Iowa | BOF | Web RT,1,860,66,USD,5.36,0,0,5.36,0,Slynd DTC Display StackAapt,BOF
Delaware,2025-04-09,09 - 09 - April,April 2025,[SG] DTC Skewed | TOF,0,154,43,USD,2.26,0,0,0,0,Slynd DTC Video StackAapt,TOF
South Dakota,2025-04-09,09 - 09 - April,April 2025,[SG] DTP | South Dakota | TOF,0,10,5,USD,0.36,0,0,0,0,Slynd DTP Display StackAapt,TOF
